,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
162,adult,GAIN,MCAR,0.5,3.29898851006741,0.0208137499130516,19.935020546602992,0.1547473070447302
163,adult,GAIN,MCAR,0.75,6.634983512386652,0.0122164376930488,21.222530376749265,0.0590382442626255
164,adult,GAIN,MNAR,0.25,1.8595605891522056,0.1414942097000348,20.620075376982776,0.2912568527954894
165,adult,GAIN,MNAR,0.5,3.318925373883662,0.0832291871927386,19.894248953051743,0.1180835070443425
166,adult,GAIN,MNAR,0.75,6.8319400247194295,0.4110252625507152,20.938959391218425,0.4398946887160823
167,bean,GAIN,MAR,0.25,1.414257642660825,0.0329937951104244,,
168,bean,GAIN,MAR,0.5,1.940092213823581,0.1220710859013858,,
169,bean,GAIN,MAR,0.75,3.0992091980991585,0.0690452107491807,,
170,bean,GAIN,MCAR,0.25,1.2722629191334205,0.017367802812664,,
171,bean,GAIN,MCAR,0.5,1.7876532768817792,0.0063472991857831,,
172,bean,GAIN,MCAR,0.75,2.8318198899192453,0.0111879879663421,,
173,bean,GAIN,MNAR,0.25,1.345786384851965,0.0822020026658565,,
174,bean,GAIN,MNAR,0.5,1.762841442558986,0.050136077965695,,
175,bean,GAIN,MNAR,0.75,2.8540599243228777,0.0667620409596489,,
176,california,GAIN,MAR,0.25,15.063069228605691,4.316691651906453,,
177,california,GAIN,MAR,0.5,18.688608323047028,5.329016204444072,,
178,california,GAIN,MAR,0.75,22.74169067951459,1.3288716815382493,,
179,california,GAIN,MCAR,0.25,13.748203890472666,0.0954676178896358,,
180,california,GAIN,MCAR,0.5,17.298119044872458,0.1292050706414766,,
181,california,GAIN,MCAR,0.75,21.662693022948325,0.0763374890617247,,
182,california,GAIN,MNAR,0.25,13.918253632815118,0.4808574870776957,,
183,california,GAIN,MNAR,0.5,17.395898021332883,0.3354270246461254,,
184,california,GAIN,MNAR,0.75,21.703172261872474,0.2440083827986561,,
185,default,GAIN,MAR,0.25,6.861821452516034,1.6083838669446404,51.29518184946407,2.6553936079787084
186,default,GAIN,MAR,0.5,23.16574524149143,7.052297955551898,42.28374731880114,3.238271839057291
187,default,GAIN,MAR,0.75,62.22623113533909,10.7664197823869,20.68631331641636,1.262636090841953
188,default,GAIN,MCAR,0.25,5.669640858155132,0.0337809252921368,47.76852016903385,0.4296198979069561
189,default,GAIN,MCAR,0.5,19.1606791105767,0.0729024672887561,41.13916306070461,0.1205206932696944
190,default,GAIN,MCAR,0.75,58.09054425693889,0.221176329437296,19.994455739540022,0.1763162311167694
191,default,GAIN,MNAR,0.25,5.7885567878760105,0.2002820411403716,49.717094440967934,2.097855680926624
192,default,GAIN,MNAR,0.5,18.823121812333344,0.1360792437862325,42.02510253940827,1.4331536410644643
193,default,GAIN,MNAR,0.75,58.61321865827357,0.696073555010436,20.221830957527576,1.0145271156193878
194,gesture,GAIN,MAR,0.25,1.2225927171816031,0.0805069945795193,,
195,gesture,GAIN,MAR,0.5,2.9686049303834823,0.3182070364256582,,
196,gesture,GAIN,MAR,0.75,9.701412645077411,1.1748638730274583,,
197,gesture,GAIN,MCAR,0.25,1.1606228095078317,0.0223676959875674,,
198,gesture,GAIN,MCAR,0.5,3.063957581023278,0.0176051647339123,,
199,gesture,GAIN,MCAR,0.75,9.591383068384964,0.0506914874357285,,
200,gesture,GAIN,MNAR,0.25,1.3039178264323417,0.0617168361893172,,
201,gesture,GAIN,MNAR,0.5,3.075941834381246,0.0500920554637977,,
202,gesture,GAIN,MNAR,0.75,9.807612996329311,0.0688336182912209,,
203,letter,GAIN,MAR,0.25,1.0542895026216963,0.0393954580024601,,
204,letter,GAIN,MAR,0.5,1.109558920637198,0.0252725465084373,,
205,letter,GAIN,MAR,0.75,1.2861818322056209,0.0300888083566317,,
206,letter,GAIN,MCAR,0.25,1.03203043716383,0.0112875385114353,,
207,letter,GAIN,MCAR,0.5,1.1122757945618154,0.0082283033667275,,
208,letter,GAIN,MCAR,0.75,1.287280254173806,0.0047263160921941,,
209,letter,GAIN,MNAR,0.25,1.0297875601394493,0.0270771857694333,,
210,letter,GAIN,MNAR,0.5,1.0928532119619807,0.0370248724967645,,
211,letter,GAIN,MNAR,0.75,1.2791776877163346,0.0481277915315117,,
212,magic,GAIN,MAR,0.25,1.2700878957124186,0.2425160849604322,,
213,magic,GAIN,MAR,0.5,1.359895305267559,0.4488118213936754,,
214,magic,GAIN,MAR,0.75,2.0421296239059457,0.5896865939736623,,
215,magic,GAIN,MCAR,0.25,1.4588694193617298,0.0153324762853201,,
216,magic,GAIN,MCAR,0.5,1.8175220435194264,0.0044984893844225,,
217,magic,GAIN,MCAR,0.75,2.358418144297344,0.009228816142576,,
218,magic,GAIN,MNAR,0.25,1.4806148381818194,0.0997377040981969,,
219,magic,GAIN,MNAR,0.5,1.802953983951992,0.0650190387206613,,
220,magic,GAIN,MNAR,0.75,2.325839923374865,0.0288148746063472,,
221,news,GAIN,MAR,0.25,187.90150341786867,181.2585509239406,16.07144591092258,2.42164790816568
222,news,GAIN,MAR,0.5,149.5289775243856,126.10601975800388,16.024861815428363,2.4549170171758
223,news,GAIN,MAR,0.75,170.8123703148104,42.642083794256514,17.476088403007367,0.1860565317881533
224,news,GAIN,MCAR,0.25,65.78191659953815,81.50801831588832,16.478033337680206,0.6032757891382948
